"competitor_article","ld_article","c_brand","c_name","c_dn","c_pn","c_thread_type","c_type","name","dn","pn","thread_type","type","price","url"
"SVB-0007-200020","LD 47.302.20","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка","20","40","Внутренняя/Наружная","кран латунный","587","https://xn--d1an.xn--p1ai/products/136--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka/"
"SVB-0007-200020","LD 47.302.20 W","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка (white)","20","40","Внутренняя/Наружная","кран латунный","597","https://xn--d1an.xn--p1ai/products/2119--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_white/"
"SVB-0007-200020","LD 47.302.20 R","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка (red)","20","40","Внутренняя/Наружная","кран латунный","597","https://xn--d1an.xn--p1ai/products/2298--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_red/"
"SVB-0007-200020","LD 47.312.20","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка с биркой","20","40","Внутренняя/Наружная","кран латунный","587","https://xn--d1an.xn--p1ai/products/4113--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_s_birkoj/"
"SVB-0007-200020","LD 47.312.20 R","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка (red) с биркой","20","40","Внутренняя/Наружная","кран латунный","597","https://xn--d1an.xn--p1ai/products/4131--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_red_s_birkoj/"
"SVB-0007-200020","LD 47.312.20 W","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка (white) с биркой","20","40","Внутренняя/Наружная","кран латунный","597","https://xn--d1an.xn--p1ai/products/17752--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_white_s_birkoj/"
"SVB-0007-200020","LD 47.312.20.1","Stout","Уцененный товар (сломанная ручка): Кран шаровой полнопроходной с американкой STOUT ВР/НР ручка бабочка 3/4","20.0","40.0","Внутренняя/Наружная","кран латунный","Кран шаровой латунный LD Pride 47.20.В-Н.Б Ду 20 Ру 40 бабочка с биркой и хомутом","20","40","Внутренняя/Наружная","кран латунный","587","https://xn--d1an.xn--p1ai/products/17889--kran_sarovoj_latunnyj_ld_pride_47_20_v_n_b_du_20_ru_40_babocka_s_birkoj_i_homutom/"
"SVB-0012-000025","LD 47.300.25","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка","25","40","Внутренняя","кран латунный","1011","https://xn--d1an.xn--p1ai/products/199--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka/"
"SVB-0012-000025","LD 47.300.25 W","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка (white)","25","40","Внутренняя","кран латунный","1031","https://xn--d1an.xn--p1ai/products/2111--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_white/"
"SVB-0012-000025","LD 47.300.25 R","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка (red)","25","40","Внутренняя","кран латунный","1031","https://xn--d1an.xn--p1ai/products/2335--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_red/"
"SVB-0012-000025","LD 47.300.25 B","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка (blue)","25","40","Внутренняя","кран латунный","1031","https://xn--d1an.xn--p1ai/products/2361--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_blue/"
"SVB-0012-000025","LD 47.310.25 R","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка (red) с биркой","25","40","Внутренняя","кран латунный","1031","https://xn--d1an.xn--p1ai/products/4133--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_red_s_birkoj/"
"SVB-0012-000025","LD 47.310.25","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка с биркой","25","40","Внутренняя","кран латунный","1011","https://xn--d1an.xn--p1ai/products/17728--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_s_birkoj/"
"SVB-0012-000025","LD 47.310.25 W","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка (white) с биркой","25","40","Внутренняя","кран латунный","1031","https://xn--d1an.xn--p1ai/products/17749--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_white_s_birkoj/"
"SVB-0012-000025","LD 47.310.25.1","Stout","Кран шаровой стандартнопроходной STOUT SVB ВР/ВР, ручка бабочка 1","25.0","32.0","Внутренняя","кран латунный","Кран шаровой латунный LD Pride 47.25.В-В.Б Ду 25 Ру 40 бабочка с биркой и хомутом","25","40","Внутренняя","кран латунный","1011","https://xn--d1an.xn--p1ai/products/17892--kran_sarovoj_latunnyj_ld_pride_47_25_v_v_b_du_25_ru_40_babocka_s_birkoj_i_homutom/"
